product_name,zone_name,latitude,longitude,publication_date,swath
S1C_S1_RAW__0SDV_20250406T175347_20250406T175422_001776_0032D9_A6C5.SAFE,Unknown,40.24014,-2.2815,2025-04-06T20:32:07.451816Z,Unknown
S1C_S2_RAW__0SDV_20250403T062533_20250403T062608_001725_002FA3_0D86.SAFE,Unknown,39.006460000000004,-3.37504,2025-04-03T14:52:33.398198Z,Unknown
S1C_S2_RAW__0SDV_20250403T062508_20250403T062540_001725_002FA3_44BA.SAFE,Unknown,40.57832,-2.9694599999999998,2025-04-03T14:51:53.766607Z,Unknown
S1C_S4_RAW__0SDV_20250328T145527_20250328T145555_001643_002A6D_EDBD.SAFE,Unknown,20.3236,47.511559999999996,2025-03-28T18:48:03.847162Z,Unknown
S1C_S2_RAW__0SDV_20250331T205042_20250331T205107_001690_002D5C_A096.SAFE,Unknown,35.06428,139.65178,2025-03-31T22:39:30.006853Z,Unknown
S1C_S5_RAW__0SDH_20250425T174825_20250425T174904_002053_0043C0_4654.SAFE,englishchannel,50.989979999999996,0.49092,2025-04-25T18:19:32.679322Z,Unknown
S1C_S5_RAW__0SDH_20250425T174800_20250425T174833_002053_0043C0_2DE2.SAFE,Unknown,49.34992,0.9132999999999999,2025-04-25T18:20:05.649157Z,Unknown
S1C_S6_RAW__0SDV_20250422T061504_20250422T061520_002002_0040D4_6376.SAFE,brest,47.97292,-2.6452600000000004,2025-04-22T17:46:56.165873Z,Unknown
S1C_S6_RAW__0SDV_20250422T061439_20250422T061511_002002_0040D4_8BC7.SAFE,brest,49.08554,-2.3841799999999997,2025-04-22T17:48:39.126321Z,Unknown
S1C_S6_RAW__0SDV_20250422T061414_20250422T061446_002002_0040D4_0E35.SAFE,Unknown,50.58991999999999,-2.0233,2025-04-22T17:48:37.121155Z,Unknown
S1C_S3_RAW__0SDV_20250327T063038_20250327T063111_001623_002929_E3C1.SAFE,Unknown,50.46589999999999,-3.249,2025-03-27T08:34:10.165533Z,Unknown
S1C_S3_RAW__0SDV_20250327T063103_20250327T063138_001623_002929_3F53.SAFE,brest,48.900999999999996,-3.71716,2025-03-27T08:34:30.886511Z,Unknown
S1C_S1_RAW__0SDV_20250328T052810_20250328T052835_001637_002A0D_2E88.SAFE,Unknown,67.7615,21.72292,2025-03-28T15:09:05.094686Z,Unknown
S1C_S4_RAW__0SDH_20250405T203551_20250405T203630_001763_003215_12CE.SAFE,Unknown,61.23598,-45.23742,2025-04-05T21:09:53.626728Z,Unknown
S1C_S5_RAW__0SDV_20250421T145445_20250421T145518_001993_004045_8502.SAFE,Unknown,17.911040000000003,48.729519999999994,2025-04-21T16:30:35.931439Z,Unknown
S1C_S4_RAW__0SDV_20250407T204234_20250407T204258_001792_0033E2_4980.SAFE,Unknown,34.94022,139.97338000000002,2025-04-07T22:32:13.320883Z,Unknown
S1C_S5_RAW__0SDV_20250421T022419_20250421T022447_001985_003FC0_CF00.SAFE,Unknown,19.096899999999998,51.595659999999995,2025-04-21T04:47:07.971928Z,Unknown
S1C_S6_RAW__0SDH_20250422T004737_20250422T004801_001999_0040A4_3745.SAFE,Unknown,19.237659999999998,-99.16633999999999,2025-04-22T02:21:03.643968Z,Unknown
S1C_S5_RAW__0SDV_20250420T160613_20250420T160637_001979_003F6E_94A6.SAFE,Unknown,67.77099999999999,21.3156,2025-04-20T19:02:38.356084Z,Unknown
S1C_S2_RAW__0SDH_20250327T092234_20250327T092307_001625_00294C_3651.SAFE,Unknown,36.54444,126.71007999999999,2025-03-27T10:23:03.592997Z,Unknown
S1C_S2_RAW__0SDH_20250327T092209_20250327T092242_001625_00294C_46D7.SAFE,Unknown,35.03664,127.07606000000001,2025-03-27T10:23:13.787328Z,Unknown
S1C_S5_RAW__0SDH_20250419T054935_20250419T055001_001958_003E3F_5CF3.SAFE,Unknown,50.53694,4.846940000000001,2025-04-19T09:59:04.346519Z,Unknown
S1C_S5_RAW__0SDH_20250419T054910_20250419T054943_001958_003E3F_F25C.SAFE,Unknown,51.86373999999999,5.19582,2025-04-19T10:00:24.899492Z,Unknown
S1C_S5_RAW__0SDH_20250419T054845_20250419T054918_001958_003E3F_D4AC.SAFE,amsterdam,53.366060000000004,5.603820000000001,2025-04-19T10:01:13.597232Z,Unknown
S1C_S5_RAW__0SDV_20250416T052542_20250416T052609_001914_003B87_B08F.SAFE,Unknown,47.59696,10.28176,2025-04-16T07:58:29.425159Z,Unknown
S1C_S4_RAW__0SDV_20250329T061359_20250329T061431_001652_002B01_91AE.SAFE,englishchannel,51.26588,-0.012040000000000018,2025-04-01T09:54:38.647142Z,Unknown
S1C_S4_RAW__0SDV_20250329T061424_20250329T061459_001652_002B01_C0BA.SAFE,englishchannel,49.69826,-0.45366,2025-04-01T09:54:41.526838Z,Unknown
S1C_S6_RAW__0SDH_20250418T050339_20250418T050404_001943_003D57_68A4.SAFE,Unknown,67.83619999999999,19.98564,2025-04-18T15:37:39.465615Z,Unknown
S1C_S4_RAW__0SDV_20250330T051150_20250330T051214_001666_002BD3_6A0A.SAFE,Unknown,67.79636,20.997479999999996,2025-03-30T10:25:10.941611Z,Unknown
S1C_S3_RAW__0SDH_20250419T024019_20250419T024052_001956_003E22_F8F6.SAFE,Unknown,20.453480000000003,49.23978,2025-04-19T05:16:54.496836Z,Unknown
S1C_S4_RAW__0SDV_20250328T145502_20250328T145535_001643_002A6D_A64D.SAFE,Unknown,18.91464,47.79652,2025-03-28T18:49:06.014724Z,Unknown
